source_file,property_number,date,line_item,amount
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,NRI,76417.92
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,NRI,75582.21
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,NRI,76171.14
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,NRI,76304.45
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,NRI,76503.38
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,NRI,79041.5
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,NRI,80961.08
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Administrative Fees (4310),1392
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Administrative Fees (4310),1044
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Administrative Fees (4310),667
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Administrative Fees (4310),928
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Administrative Fees (4310),841
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Administrative Fees (4310),1044
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Administrative Fees (4310),1102
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Administrative Fees (4310),725
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Administrative Fees (4310),1131
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Administrative Fees (4310),609
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Administrative Fees (4310),725
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Administrative Fees (4310),812
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Administrative Fees (4310),783
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Admin Fees,1392
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Admin Fees,1044
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Apr 2025,Admin Fees,667
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,May 2025,Admin Fees,928
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jun 2025,Admin Fees,841
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jul 2025,Admin Fees,1044
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Aug 2025,Admin Fees,1102
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Sep 2025,Admin Fees,725
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Oct 2025,Admin Fees,1131
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Nov 2025,Admin Fees,609
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Dec 2025,Admin Fees,725
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Jan 2026,Admin Fees,812
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2026,Admin Fees,783
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Feb 2025,Late Fees (4300),947.2
Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,7214,Mar 2025,Late Fees (4300),1620.8
