run_id,property_name,property_number,managed_by,source_file,reporting_period,line_item,coa,coa2,account_type,coa_confidence,coa_match_method,coa_review_required,month,year,period_date,amount,extracted_at
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Discounts Charged (4250),Discounts,Net Rental Income,Income,1.0,exact_approved,0,11,2025,2025-11-01,-796.92,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Discounts Charged (4250),Discounts,Net Rental Income,Income,1.0,exact_approved,0,12,2025,2025-12-01,-298.22,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Discounts Charged (4250),Discounts,Net Rental Income,Income,1.0,exact_approved,0,1,2026,2026-01-01,-255.77,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Discounts Charged (4250),Discounts,Net Rental Income,Income,1.0,exact_approved,0,2,2026,2026-02-01,-547.03,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,2,2025,2025-02-01,-352.81,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,3,2025,2025-03-01,-350,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,4,2025,2025-04-01,-250.66,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,5,2025,2025-05-01,-1146.96,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,6,2025,2025-06-01,-287.5,2026-03-27T10:12:30.781650
20260327_101230,ChattanoogaWebapptest,7214,Extra Space Storage,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,Bad Debt Expense (4990),Bad Debt,Net Rental Income,Income,1.0,exact_approved,0,7,2025,2025-07-01,-280.9,2026-03-27T10:12:30.781650
