run_id,property_name,property_number,managed_by,source_file,reporting_period,tenant_account,unit_number,move_in_date,rent_rate,street_rate,paid_thru_date,status,size,unit_type,sq_ft,extracted_at
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005231040,2184,2025-02-28,112,107,2026-02-28,Delinquent,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004883751,2185,2024-11-23,106,93,2026-03-25,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2002942602,2186,2023-08-13,145,107,2026-04-12,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005924548,2187,2025-07-29,128,93,2026-03-28,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004863476,2188,2026-02-18,54,107,2026-06-17,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005750784,2189,2025-06-21,128,93,2026-03-20,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006586490,2190,2026-01-07,65,107,2026-03-09,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2003961647,2191,2024-04-26,136,93,2026-03-31,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004745474,2192,2024-10-19,138,107,2026-03-20,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2006058130,2193,2025-08-27,81,135,2026-03-26,Current,20X07,CENB,140,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2003721537,2194,2024-08-01,80,107,2026-02-28,Delinquent,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005112385,2196,2025-01-28,87,107,2026-02-28,Delinquent,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005177410,2197,2025-02-15,58,93,2026-03-14,Current,10X07,CENB,70,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2003355580,2198,2023-11-22,139,107,2026-03-21,Current,10X10,CENB,100,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2005400613,2199,2025-04-10,46,49,2026-03-09,Current,05X05,CENB,25,2026-03-27T10:49:18.140904
20260327_104918,Chattanooga,7214,Extra,Feb. 2026 Owner Financials - EXR Chattanooga.xlsx,Feb 2026,2004921322,2200,2024-12-03,84,78,2026-03-02,Current,10X05,CENB,50,2026-03-27T10:49:18.140904
